FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,MONTH,DAY_OF_WEEK,HOUR,ROUTE
2023-02-09,SKYWEST AIRLINES INC.,SkyWest Airlines Inc.: OO,OO,20304.0,3760.0,CID,"Cedar Rapids/Iowa City, IA",MSP,"Minneapolis, MN",625.0,1900-01-01 06:25:00,0.0,101.0,806.0,850.0,6.0,759.0,856.0,57.0,0.0,Not Cancelled,0.0,94.0,151.0,44.0,220.0,57.0,0.0,0.0,0.0,0.0,2,3,6.0,CID-MSP
2020-05-23,ALLEGIANT AIR,Allegiant Air: G4,G4,20368.0,2148.0,CVG,"Cincinnati, OH",SFB,"Sanford, FL",1341.0,1900-01-01 14:04:00,23.0,10.0,1414.0,1555.0,8.0,1542.0,1603.0,21.0,0.0,Not Cancelled,0.0,121.0,119.0,101.0,735.0,21.0,0.0,0.0,0.0,0.0,5,5,14.0,CVG-SFB
2022-09-05,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,2057.0,PHX,"Phoenix, AZ",LGB,"Long Beach, CA",1435.0,1900-01-01 14:58:00,23.0,9.0,1507.0,1558.0,3.0,1550.0,1601.0,11.0,0.0,Not Cancelled,0.0,75.0,63.0,51.0,355.0,0.0,0.0,0.0,0.0,0.0,9,0,14.0,PHX-LGB
2022-10-10,DELTA AIR LINES INC.,Delta Air Lines Inc.: DL,DL,19790.0,717.0,RDU,"Raleigh/Durham, NC",FLL,"Fort Lauderdale, FL",700.0,1900-01-01 07:24:00,24.0,11.0,735.0,915.0,3.0,909.0,918.0,9.0,0.0,Not Cancelled,0.0,129.0,114.0,100.0,680.0,0.0,0.0,0.0,0.0,0.0,10,0,7.0,RDU-FLL
2019-07-23,AMERICAN AIRLINES INC.,American Airlines Inc.: AA,AA,19805.0,426.0,IAH,"Houston, TX",LAX,"Los Angeles, CA",2040.0,1900-01-01 21:01:00,21.0,13.0,2114.0,2205.0,28.0,2210.0,2233.0,23.0,0.0,Not Cancelled,0.0,210.0,212.0,171.0,1379.0,0.0,0.0,2.0,0.0,21.0,7,1,21.0,IAH-LAX
2023-08-08,AMERICAN AIRLINES INC.,American Airlines Inc.: AA,AA,19805.0,1876.0,CLT,"Charlotte, NC",MKE,"Milwaukee, WI",2234.0,1900-01-01 23:22:00,48.0,18.0,2340.0,13.0,5.0,2336.0,18.0,42.0,0.0,Not Cancelled,0.0,122.0,116.0,93.0,651.0,42.0,0.0,0.0,0.0,0.0,8,1,23.0,CLT-MKE
2022-09-26,HORIZON AIR,Horizon Air: QX,QX,19687.0,2592.0,SEA,"Seattle, WA",BOI,"Boise, ID",1600.0,1900-01-01 17:57:00,117.0,23.0,1820.0,2019.0,3.0,1823.0,2022.0,119.0,0.0,Not Cancelled,0.0,83.0,85.0,59.0,399.0,117.0,0.0,2.0,0.0,0.0,9,0,17.0,SEA-BOI
2022-01-29,AMERICAN AIRLINES INC.,American Airlines Inc.: AA,AA,19805.0,2597.0,DFW,"Dallas/Fort Worth, TX",BUR,"Burbank, CA",1910.0,1900-01-01 19:53:00,43.0,18.0,2011.0,2118.0,3.0,2033.0,2121.0,48.0,0.0,Not Cancelled,0.0,203.0,208.0,187.0,1231.0,43.0,0.0,5.0,0.0,0.0,1,5,19.0,DFW-BUR
2022-06-06,DELTA AIR LINES INC.,Delta Air Lines Inc.: DL,DL,19790.0,1272.0,JFK,"New York, NY",FLL,"Fort Lauderdale, FL",730.0,1900-01-01 07:30:00,0.0,28.0,758.0,1036.0,6.0,1038.0,1042.0,4.0,0.0,Not Cancelled,0.0,188.0,192.0,158.0,1069.0,0.0,0.0,0.0,0.0,0.0,6,0,7.0,JFK-FLL
2022-08-10,DELTA AIR LINES INC.,Delta Air Lines Inc.: DL,DL,19790.0,327.0,SEA,"Seattle, WA",JFK,"New York, NY",1155.0,1900-01-01 13:58:00,123.0,33.0,1431.0,2228.0,24.0,2030.0,2252.0,142.0,0.0,Not Cancelled,0.0,335.0,354.0,297.0,2422.0,0.0,0.0,19.0,0.0,123.0,8,2,13.0,SEA-JFK
2022-03-13,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,621.0,SAT,"San Antonio, TX",HOU,"Houston, TX",1815.0,1900-01-01 18:31:00,16.0,13.0,1844.0,1918.0,7.0,1910.0,1925.0,15.0,0.0,Not Cancelled,0.0,55.0,54.0,34.0,192.0,0.0,0.0,0.0,0.0,15.0,3,6,18.0,SAT-HOU
2021-10-13,AMERICAN AIRLINES INC.,American Airlines Inc.: AA,AA,19805.0,1925.0,LAX,"Los Angeles, CA",CLT,"Charlotte, NC",1255.0,1900-01-01 14:13:00,78.0,16.0,1429.0,2133.0,11.0,2043.0,2144.0,61.0,0.0,Not Cancelled,0.0,288.0,271.0,244.0,2125.0,38.0,0.0,0.0,0.0,23.0,10,2,14.0,LAX-CLT
2019-12-09,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,677.0,DEN,"Denver, CO",HOU,"Houston, TX",1955.0,1900-01-01 20:13:00,18.0,7.0,2020.0,2315.0,4.0,2310.0,2319.0,9.0,0.0,Not Cancelled,0.0,135.0,126.0,115.0,883.0,0.0,0.0,0.0,0.0,0.0,12,0,20.0,DEN-HOU
2021-12-27,FRONTIER AIRLINES INC.,Frontier Airlines Inc.: F9,F9,20436.0,2151.0,PHX,"Phoenix, AZ",LAS,"Las Vegas, NV",1418.0,1900-01-01 14:48:00,30.0,16.0,1504.0,1448.0,53.0,1434.0,1541.0,67.0,0.0,Not Cancelled,0.0,76.0,113.0,44.0,255.0,3.0,0.0,51.0,0.0,13.0,12,0,14.0,PHX-LAS
2021-03-13,SKYWEST AIRLINES INC.,SkyWest Airlines Inc.: OO,OO,20304.0,3237.0,DFW,"Dallas/Fort Worth, TX",FWA,"Fort Wayne, IN",1840.0,1900-01-01 19:08:00,28.0,23.0,1931.0,2211.0,4.0,2205.0,2215.0,10.0,0.0,Not Cancelled,0.0,145.0,127.0,100.0,859.0,0.0,0.0,0.0,0.0,0.0,3,5,19.0,DFW-FWA
2019-01-20,JETBLUE AIRWAYS,JetBlue Airways: B6,B6,20409.0,1304.0,SJU,"San Juan, PR",JFK,"New York, NY",1523.0,1900-01-01 16:13:00,50.0,14.0,1627.0,1852.0,15.0,1831.0,1907.0,36.0,0.0,Not Cancelled,0.0,248.0,234.0,205.0,1598.0,0.0,0.0,0.0,0.0,36.0,1,6,16.0,SJU-JFK
2019-08-21,DELTA AIR LINES INC.,Delta Air Lines Inc.: DL,DL,19790.0,2558.0,ATL,"Atlanta, GA",LAS,"Las Vegas, NV",1511.0,1900-01-01 15:15:00,4.0,24.0,1539.0,1618.0,7.0,1624.0,1625.0,1.0,0.0,Not Cancelled,0.0,253.0,250.0,219.0,1747.0,0.0,0.0,0.0,0.0,0.0,8,2,15.0,ATL-LAS
2023-06-13,AMERICAN AIRLINES INC.,American Airlines Inc.: AA,AA,19805.0,1681.0,ELP,"El Paso, TX",DFW,"Dallas/Fort Worth, TX",1647.0,1900-01-01 17:22:00,35.0,14.0,1736.0,1948.0,19.0,1939.0,2007.0,28.0,0.0,Not Cancelled,0.0,112.0,105.0,72.0,551.0,2.0,0.0,0.0,0.0,26.0,6,1,17.0,ELP-DFW
2023-04-15,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,594.0,LGA,"New York, NY",BNA,"Nashville, TN",1010.0,1900-01-01 10:32:00,22.0,17.0,1049.0,1147.0,5.0,1145.0,1152.0,7.0,0.0,Not Cancelled,0.0,155.0,140.0,118.0,764.0,0.0,0.0,0.0,0.0,0.0,4,5,10.0,LGA-BNA
2019-03-22,DELTA AIR LINES INC.,Delta Air Lines Inc.: DL,DL,19790.0,1578.0,JFK,"New York, NY",LAS,"Las Vegas, NV",2029.0,1900-01-01 21:15:00,46.0,30.0,2145.0,2337.0,36.0,2329.0,13.0,44.0,0.0,Not Cancelled,0.0,360.0,358.0,292.0,2248.0,44.0,0.0,0.0,0.0,0.0,3,4,21.0,JFK-LAS
2023-06-25,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,2950.0,DEN,"Denver, CO",BZN,"Bozeman, MT",835.0,1900-01-01 08:49:00,14.0,12.0,901.0,1025.0,4.0,1015.0,1029.0,14.0,0.0,Not Cancelled,0.0,100.0,100.0,84.0,524.0,0.0,0.0,0.0,0.0,0.0,6,6,8.0,DEN-BZN
2021-10-21,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,222.0,SNA,"Santa Ana, CA",LAS,"Las Vegas, NV",1535.0,1900-01-01 16:41:00,66.0,8.0,1649.0,1729.0,7.0,1645.0,1736.0,51.0,0.0,Not Cancelled,0.0,70.0,55.0,40.0,226.0,49.0,0.0,0.0,0.0,2.0,10,3,16.0,SNA-LAS
2019-11-12,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,717.0,MDW,"Chicago, IL",TPA,"Tampa, FL",1920.0,1900-01-01 20:18:00,58.0,15.0,2033.0,2337.0,3.0,2250.0,2340.0,50.0,0.0,Not Cancelled,0.0,150.0,142.0,124.0,997.0,1.0,0.0,0.0,0.0,49.0,11,1,20.0,MDW-TPA
2019-10-30,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,2420.0,LAS,"Las Vegas, NV",SJC,"San Jose, CA",1320.0,1900-01-01 13:41:00,21.0,9.0,1350.0,1453.0,3.0,1450.0,1456.0,6.0,0.0,Not Cancelled,0.0,90.0,75.0,63.0,386.0,0.0,0.0,0.0,0.0,0.0,10,2,13.0,LAS-SJC
2021-07-26,FRONTIER AIRLINES INC.,Frontier Airlines Inc.: F9,F9,20436.0,97.0,PHL,"Philadelphia, PA",SJU,"San Juan, PR",819.0,1900-01-01 08:34:00,15.0,17.0,851.0,1256.0,7.0,1301.0,1303.0,2.0,0.0,Not Cancelled,0.0,282.0,269.0,245.0,1576.0,0.0,0.0,0.0,0.0,0.0,7,0,8.0,PHL-SJU
2021-08-13,SKYWEST AIRLINES INC.,SkyWest Airlines Inc.: OO,OO,20304.0,4059.0,PHL,"Philadelphia, PA",MSP,"Minneapolis, MN",1945.0,1900-01-01 19:56:00,11.0,48.0,2044.0,2203.0,8.0,2147.0,2211.0,24.0,0.0,Not Cancelled,0.0,182.0,195.0,139.0,980.0,24.0,0.0,0.0,0.0,0.0,8,4,19.0,PHL-MSP
2019-06-27,UNITED AIR LINES INC.,United Air Lines Inc.: UA,UA,19977.0,2375.0,MCO,"Orlando, FL",EWR,"Newark, NJ",1449.0,1900-01-01 15:31:00,42.0,33.0,1604.0,1822.0,8.0,1745.0,1830.0,45.0,0.0,Not Cancelled,0.0,176.0,179.0,138.0,937.0,0.0,0.0,45.0,0.0,0.0,6,3,15.0,MCO-EWR
2022-08-06,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,2266.0,SMF,"Sacramento, CA",SAN,"San Diego, CA",930.0,1900-01-01 09:43:00,13.0,8.0,951.0,1058.0,2.0,1100.0,1100.0,0.0,0.0,Not Cancelled,0.0,90.0,77.0,67.0,480.0,0.0,0.0,0.0,0.0,0.0,8,5,9.0,SMF-SAN
2019-09-17,DELTA AIR LINES INC.,Delta Air Lines Inc.: DL,DL,19790.0,1467.0,SEA,"Seattle, WA",JFK,"New York, NY",745.0,1900-01-01 08:04:00,19.0,28.0,832.0,1617.0,8.0,1613.0,1625.0,12.0,0.0,Not Cancelled,0.0,328.0,321.0,285.0,2422.0,0.0,0.0,0.0,0.0,0.0,9,1,8.0,SEA-JFK
2021-08-21,SOUTHWEST AIRLINES CO.,Southwest Airlines Co.: WN,WN,19393.0,5272.0,MYR,"Myrtle Beach, SC",BWI,"Baltimore, MD",1755.0,1900-01-01 18:30:00,35.0,8.0,1838.0,1937.0,4.0,1915.0,1941.0,26.0,0.0,Not Cancelled,0.0,80.0,71.0,59.0,399.0,0.0,0.0,12.0,0.0,14.0,8,5,18.0,MYR-BWI
2019-10-05,AMERICAN AIRLINES INC.,American Airlines Inc.: AA,AA,19805.0,1829.0,CLT,"Charlotte, NC",SYR,"Syracuse, NY",1510.0,1900-01-01 15:25:00,15.0,12.0,1537.0,1658.0,5.0,1700.0,1703.0,3.0,0.0,Not Cancelled,0.0,110.0,98.0,81.0,603.0,0.0,0.0,0.0,0.0,0.0,10,5,15.0,CLT-SYR
